file,player_id,date,recorded_minutes,session_duration_minutes,total_distance_meters,high_speed_running_distance,sprint_distance,acceleration_count,deceleration_count,peak_speed_ms,mean_speed_ms,distance_per_min,sprint_fraction,sample_rate_hz,n_gps_samples,error,qc_flags,qc_pass
2020-07-27-TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43.parquet,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,2020-07-27,93.39,52.87,4193.5,128.4,20.1,30,53,6.41,1.322,79.3,0.0048,10.0,56023,,,1
2020-07-25-TeamA-4051bba7-1170-4c43-b912-8c38815a7625.parquet,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-25,168.02,120.7,6680.3,11.8,8.0,22,34,6.15,0.922,55.3,0.0012,10.0,100811,,,1
2020-07-29-TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95.parquet,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,2020-07-29,120.42,86.28,6883.4,352.2,97.5,79,89,6.87,1.33,79.8,0.0142,10.0,72239,,,1
2020-07-30-TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05.parquet,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,2020-07-30,121.89,51.18,3024.7,201.2,172.4,25,28,11.5,0.985,59.1,0.057,10.0,73121,,implausible_peak_speed,0
2020-08-01-TeamA-4051bba7-1170-4c43-b912-8c38815a7625.parquet,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-08-01,97.54,29.18,1630.7,0.4,0.0,8,16,4.45,0.931,55.9,0.0,10.0,58520,,,1
2020-08-03-TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95.parquet,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,2020-08-03,70.42,38.7,2958.5,43.3,2.2,35,45,5.53,1.274,76.4,0.0007,10.0,42246,,,1
2020-08-02-TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43.parquet,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,2020-08-02,173.21,80.08,6360.2,583.0,184.4,27,31,6.81,1.324,79.4,0.029,10.0,103897,,,1
2020-08-05-TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592.parquet,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,2020-08-05,105.02,65.0,5269.2,327.3,99.1,48,51,6.46,1.351,81.1,0.0188,10.0,62994,,,1
2020-08-06-TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93.parquet,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,2020-08-06,82.55,42.94,2520.4,59.1,10.3,24,23,5.72,0.978,58.7,0.0041,10.0,49524,,,1
2020-08-07-TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93.parquet,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,2020-08-07,65.39,38.83,2423.3,213.2,99.2,17,27,6.97,1.04,62.4,0.041,10.0,39227,,,1
2020-08-10-TeamA-b4862b21-fb97-d435-8856-1712e8e5216a.parquet,TeamA-b4862b21-fb97-d435-8856-1712e8e5216a,2020-08-10,83.99,57.87,4897.9,136.1,18.5,21,36,5.73,1.411,84.6,0.0038,10.0,50384,,,1
